video_id,video_title,channel,category,upload_date,view_count,like_count,comment_count,duration_min,engagement_rate
7gtc1DW2Tgo,Wait... Smart Glasses are Suddenly Good?,Marques Brownlee,Science & Technology,2025-09-19,8134818,190706,8700,11.5,0.02344
NTKC-LExZlI,I Tested Meta's Ray-Ban Display Glasses,Mrwhosetheboss,Science & Technology,2025-09-18,5519832,116210,4600,11.3,0.02105
ViA4-YWx8Y4,Meta Ray-Ban Smart Glasses Review - 6 Months Later,6 Months Later,Science & Technology,2024-09-01,3147143,26345,2200,11.6,0.00837
G0eKzU_fV00,I Tried Real Augmented Reality Glasses!,Marques Brownlee,Science & Technology,2024-11-01,6833801,154667,7100,20.5,0.02263
QFtbKfGn4vs,I Survived 50 Hours in Meta Glasses,Ryan Trahan,Entertainment,2025-11-15,8825980,175108,11000,20.2,0.01984
nCWkpjYMLbY,Entitled Airport Shoplifter Caught in 4K Stealing Ray-Ban Meta Glasses,Police Release,News & Politics,2025-09-30,2061735,26050,19000,16.4,0.01263
408NGZQ-hKA,I Wore Ray-Ban Meta Glasses For A Week – Here’s What Happened!,George Mattock,Science & Technology,2025-06-10,1076719,13399,866,16.1,0.01244
