Date,Close,High,Low,Open,Volume
2023-01-03,99.14043426513672,103.33910660788699,99.07569732165852,102.97842834339458,8110400
2023-01-04,103.14491271972656,103.79228931664221,100.62940755001743,101.54498211562402,7614200
2023-01-05,101.175048828125,102.58076850304155,100.92534411999868,101.66520103677486,7546000
2023-01-06,106.66844940185547,107.26033910616604,101.77617092869723,102.6177512031336,10259300
2023-01-09,105.99333190917969,109.91455604734749,105.00377748816715,107.95394750616231,10291800
2023-01-10,108.12041473388672,108.17590152470854,105.17024472137189,105.44768573127836,6384800
2023-01-11,109.48915100097656,109.59088149763231,106.51123731152249,108.61057713618398,7374400
2023-01-12,112.4485855102539,113.17919237083798,108.80480841614776,110.27526523453133,9527600
2023-01-13,111.20006561279297,112.29135065678747,110.71916356809292,110.81164391640466,8040400
2023-01-17,111.237060546875,112.19887170403668,110.07178838741781,110.73765819282193,6179500
2023-01-18,112.86473083496094,114.6681221742046,111.91216991957594,112.47630917047734,10960400
2023-01-19,108.74005126953125,111.99540600226545,108.59207707196248,111.95841245287325,8716200
2023-01-20,113.66007232666016,113.71555911888572,108.51808222123054,109.51688681607632,8895000
2023-01-23,121.1788330078125,122.1313938811809,116.36053479435085,117.02640450740766,13419500
2023-01-24,120.87364959716797,122.97298936319854,120.36499712809506,120.73493261087343,7952400
2023-01-25,121.30831909179688,121.65049707734795,118.0992009915754,118.79281416980893,6880300
2023-01-26,123.88858795166016,124.71167515780591,121.29909551393914,124.30475310324422,7413600
2023-01-27,123.37068176269531,124.74866528542661,121.5395465755133,121.60429059134849,6581900
2023-01-30,121.73374938964844,122.44584880578509,120.36500913423332,121.19735346981233,9854300
2023-01-31,123.1949462890625,123.59261104341797,121.44704176568662,121.44704176568662,7125100
2023-02-01,128.05027770996094,129.41900409109257,122.70481788867197,122.70481788867197,10500600
2023-02-02,125.63645935058594,128.69760292833394,124.6653981816255,128.05023351955856,17673200
2023-02-03,124.86888885498047,127.99476306130542,118.903817557695,121.29909199568311,13187300
2023-02-06,122.9360122680664,124.73941810433371,121.94646464954492,122.32564330005434,6830500
2023-02-07,126.35781860351562,127.0514317233711,122.38110056069186,123.13944356703777,7664200
2023-02-08,122.23313903808594,126.03413989313293,121.85396043983341,125.13706570292403,7151700
2023-02-09,120.71644592285156,125.0630860266285,120.15230659563899,123.82383377065246,5717500
2023-02-10,119.29222106933594,120.17079492109772,118.02521848346876,119.56965504555843,5319200
2023-02-13,121.00312042236328,121.54875937009122,118.73732033018827,119.7268818460025,5550400
2023-02-14,122.3903579711914,122.88976737839545,118.70958786920636,119.48643126752742,5579900
2023-02-15,123.06549835205078,123.30594587434334,120.50374936681816,120.7811974996777,3501100
2023-02-16,120.37427520751953,122.6215754447421,120.1800572814345,120.9199142636849,5788400
2023-02-17,118.11770629882812,120.05057171728362,117.41484293948139,119.76388051598887,6022500
2023-02-21,114.39994049072266,118.02523104138453,114.26122348785188,116.02762153046072,8164400
2023-02-22,114.6311264038086,115.57444420588743,113.67856550689585,114.9733114191976,5517800
2023-02-23,116.71198272705078,117.66455081807258,114.37219523918057,117.0911613442243,6440200
2023-02-24,114.9918212890625,115.3340063539213,113.91903650203804,114.89934093677051,7357200
