Price,Close,High,Low,Open,Volume
Ticker,EL.PA,EL.PA,EL.PA,EL.PA,EL.PA
Date,,,,,
2023-01-02,154.79360961914062,155.29163923015787,153.4806481349812,154.8388914563637,262801
2023-01-03,154.02392578125,156.7403979571973,153.20897989256017,153.88810852631113,468363
2023-01-04,156.92149353027344,157.87225665261562,154.7935863728453,154.7935863728453,580460
2023-01-05,157.51007080078125,158.50611583140866,156.10655986292215,156.24239124512357,414000
2023-01-06,159.45687866210938,159.45687866210938,156.46875769677138,156.92150543692657,341195
2023-01-09,159.23052978515625,160.54349131963497,157.5553700177609,160.40765992244732,536134
2023-01-10,156.33294677734375,157.51007682981978,154.06922210440973,157.14787862300042,566996
2023-01-11,156.78570556640625,158.1892025370429,156.5140568921801,157.60063746939682,637972
2023-01-12,154.3408660888672,157.46481875409467,154.11449925558992,157.28371963959776,661493
2023-01-13,157.41954040527344,158.18920459910314,153.84285399420412,154.3861513497385,625821
2023-01-16,157.3289794921875,158.37029228863682,156.64986490662264,158.23447501939864,309540
2023-01-17,160.0454559326172,160.86040192736553,156.96678518325527,157.102616575557,368545
2023-01-18,159.04942321777344,161.3131479477665,158.95887366378622,159.81908736682115,421218
2023-01-19,154.79360961914062,159.2305236826361,154.74834190160487,159.185241845413,655641
2023-01-20,157.9628143310547,158.59666115182978,155.15579253016514,155.97073844259026,517489
2023-01-23,157.64590454101562,159.1399650494614,157.28370634264252,158.05337045434212,380653
2023-01-24,154.79360961914062,158.05337947077126,152.8468153713567,157.51008214221827,530740
2023-01-25,155.0652618408203,155.3369105113288,152.9826361532763,154.61251405663953,331668
2023-01-26,152.0318603515625,156.19711138378037,152.0318603515625,155.83491318625073,582079
2023-01-27,150.44725036621094,152.21295952013446,148.81737259626658,152.03186042128658,770312
2023-01-30,150.67359924316406,151.94129278418805,149.04372166724656,149.72283614723844,438451
2023-01-31,152.0318603515625,152.9373558453866,150.89999804412562,151.30746395650323,533389
2023-02-01,152.34878540039062,153.0278999996337,152.07713673675596,152.16768629130084,429241
2023-02-02,154.6125030517578,155.0652508037133,151.17164837626936,152.8920757140136,600157
2023-02-03,161.76588439941406,161.8564339470658,156.28765794601418,156.69513797029003,791858
2023-02-06,158.46083068847656,160.49818842146368,157.82699798372653,159.4115938652876,399521
2023-02-07,156.78570556640625,158.41558349207526,156.0160272629216,158.00811754057995,425916
2023-02-08,157.7364501953125,160.72457113841253,157.5553511005982,159.36632792805517,457527
2023-02-09,155.8349151611328,158.91358575946396,155.8349151611328,157.69117388715316,401456
2023-02-10,152.75625610351562,155.15579797251763,151.76021106450247,154.4766834148519,521361
2023-02-13,155.8349151611328,156.19711336325256,152.66570913195838,152.66570913195838,308620
2023-02-14,155.20108032226562,156.92150763931522,154.79360029056386,155.65381394908866,368491
2023-02-15,157.37425231933594,157.55535141441095,154.7483295604343,155.24634501204753,380937
2023-02-16,158.95887756347656,159.90964084382347,157.55536650208649,158.4608479444853,366483
2023-02-17,158.09864807128906,158.09864807128906,154.70306092839945,157.2837161935955,717112
2023-02-20,158.77777099609375,159.54743512788596,157.96282502847953,158.8683205480509,253355
2023-02-21,159.13998413085938,159.90964833484418,156.74042783876627,157.4195424823006,444133
2023-02-22,158.05337524414062,159.1399698721891,156.33294786941744,158.41557345349014,369765
2023-02-23,151.3527374267578,155.06524050689777,151.21690605034746,153.93337826201153,762135
2023-02-24,149.1795654296875,152.57515223145515,149.1795654296875,151.39800813127232,1113766
2023-02-27,149.27011108398438,150.85472119065545,149.0890260989268,149.58704157713075,415377
2023-02-28,148.86264038085938,150.2208836228546,148.13824398512858,148.59099173246034,850283
2023-03-01,147.91188049316406,149.7228574034761,147.59496412275766,149.17957421416324,461155
2023-03-02,147.45913696289062,147.82133517927358,146.32727459653753,147.14222058339917,502619
2023-03-03,148.27407836914062,149.04374249533365,148.00242971524543,148.22879653364805,444259
2023-03-06,149.8134002685547,150.13033074450277,148.81736936619666,148.9984684611138,418817
2023-03-07,148.0929718017578,151.30745953129113,148.0929718017578,149.7228495232865,519707
2023-03-08,145.46705627441406,146.5536508890674,143.47498026723636,144.8332094158663,715469
2023-03-09,146.55364990234375,147.3233140226978,144.92375799133754,145.6481543962292,417824
2023-03-10,144.51629638671875,147.23276886645263,143.47498358345092,144.9690441532889,620156
2023-03-13,142.70530700683594,144.83321447501837,141.75454374564666,144.78794675766997,709410
2023-03-14,143.927734375,144.7426662522669,141.43762866637223,142.88640743015915,404742
2023-03-15,142.5694580078125,144.65208317549354,140.48683284013143,144.65208317549354,638472
2023-03-16,145.78396606445312,146.82527879665693,142.524210606983,144.5615542379803,726264
2023-03-17,144.652099609375,146.9611059348068,143.61078690723124,146.19144186622478,1079918
2023-03-20,147.00637817382812,148.40988909727093,144.10880677963377,144.4710049688688,592106
2023-03-21,147.594970703125,148.77210080541855,147.232772480977,148.77210080541855,429959
2023-03-22,147.86660766601562,148.45517267057716,147.05166173068602,147.27802854176775,367877
2023-03-23,147.4138641357422,147.68551278861298,146.14617042234514,146.68946772808673,404546
2023-03-24,146.780029296875,147.05167797198743,145.1501513658883,146.73474745784566,458988
2023-03-27,147.23277282714844,148.6362838814281,147.09694143367986,148.13825426495995,344110
2023-03-28,143.6107940673828,148.5909910249458,142.75058041139167,147.95714418169942,500392
2023-03-29,145.10484313964844,145.15012497044333,143.92771321457602,143.97298092568556,404296
2023-03-30,148.36463928222656,149.31540258382597,145.91981532963152,145.96508304890395,564079
2023-03-31,150.31143188476562,150.99054644010275,148.81737139121213,149.36065456367,653791
2023-04-03,147.83038330078125,150.11222355208002,147.83038330078125,149.659475789558,344526
2023-04-04,148.0476837158203,149.60512738205816,148.01146672259347,148.5909809732793,399644
2023-04-05,151.12635803222656,151.9231883829289,148.3917843558812,148.51855089535397,534217
2023-04-06,151.7421112060547,152.68382378915933,150.94528074027872,151.43424553153613,403966
2023-04-11,153.13656616210938,153.42633038651314,151.95943606464846,152.57516739189722,428627
2023-04-12,154.73020935058594,157.15693150374946,153.24521375924542,153.39008173520057,497504
2023-04-13,158.18917846679688,158.69625873879866,155.65380534615934,155.7443548904566,606105
2023-04-14,158.98602294921875,159.65608675316895,158.15296149370073,158.24351103800984,549925
2023-04-17,155.65380859375,158.11674777821122,155.65380859375,157.17503532180882,580219
2023-04-18,156.70419311523438,157.8813231482684,155.41839797407457,155.6538155088694,437847
2023-04-19,159.02224731445312,159.20334641146613,156.17900843497233,156.19710987286183,504299
2023-04-20,158.93170166015625,159.42066641013494,157.84510705145394,158.0986401456098,463667
2023-04-21,168.89208984375,170.48575058492733,165.52366926629009,168.69287519125973,1206525
2023-04-24,167.3165283203125,168.58422196922953,166.75512960474657,168.00470769651895,550219
2023-04-25,167.370849609375,168.1495784795306,166.21182114194696,166.35670323029672,448453
2023-04-26,165.3787841796875,167.4251926216718,165.2158006449106,165.97639988699353,440140
2023-04-27,163.1512908935547,165.46934817572262,162.49934257782766,165.46934817572262,682323
